"Index","Labels","Bromat","Bromid"
"1","S0","0","0"
"2","S1","0.1","0.1"
"3","S2","0.2","0.2"
"4","S3","0.3","0.3"
"5","S4","0.4","0.4"
"6","S5","0.5","0.5"
"7","S6","0.6","0.6"
"8","S7","0.7","0.7"
"9","S8","0.8","0.8"
