"System","Cali.User.Selection","Analyt.User.Selection","Chromatography","Report.File","Cali.Default.File","SAA.Menue","FullName","Solids","Method","Element","Analyt","Signal.Name","SAA","Version","QC.Kind","QC.Name","QC.RegEx","Filename","Zielwert","Unsicherheit","LimitBG","Unit.Accept","QC.Norm","Unit.Norm","Datum.Val","Datum.Reval","Datum.Next.Reval","Operator.Reval","BGMethod","Significant.Digits","Alpha","Masse","UseMeans","UseIntCorr","outlier","BG.SAA","QC.Spike"
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Sn","Sn1899_478","Sn1899_478","5.1.1","2","VBW","Sn_VBW",,"SAA_5.1.1_Sn_VBW.csv",,,10,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Sr",,,"5.1.1","2","VBW","Sr_VBW",,"SAA_5.1.1_Sr_VBW.csv",,,2.5,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Sr",,,"5.1.1","2","QC","Sr_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Sr_NBS1633c.csv",100,20,,"%",901,"mg/kg",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Ti",,,"5.1.1","2","VBW","Ti_VBW",,"SAA_5.1.1_Ti_VBW.csv",,,2.5,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Ti",,,"5.1.1","2","QC","Ti_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Ti_NBS1633c.csv",100,20,,"%",724,"%",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Tl",,,"5.1.1","2","VBW","Tl_VBW",,"SAA_5.1.1_Tl_VBW.csv",,,10,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","V",,,"5.1.1","2","VBW","V_VBW",,"SAA_5.1.1_V_VBW.csv",,,2.5,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","V",,,"5.1.1","2","QC","V_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_V_NBS1633c.csv",100,20,,"%",286.2,"mg/kg",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Zn",,,"5.1.1","2","VBW","Zn_VBW",,"SAA_5.1.1_Zn_VBW.csv",,,2.5,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Zn",,,"5.1.1","2","QC","Zn_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Zn_NBS1633c.csv",100,20,,"%",235,"mg/kg",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Ag",,,"1.5.1","1","VBW","Ag_VBW","^QC VBW","SAA_1.5.1_Ag_VBW.csv",,,10,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Ag",,,"1.5.1","1","QC","Ag_QC","^M.+?QC Spike","SAA_1.5.1_Ag_QC.csv",95,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Al",,,"1.5.1","1","VBW","Al_VBW","^QC VBW","SAA_1.5.1_Al_VBW.csv",,,20,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Al",,,"1.5.1","1","QC","Al_QC","^M.+?QC Spike","SAA_1.5.1_Al_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","As",,,"1.5.1","1","VBW","As_VBW","^QC VBW","SAA_1.5.1_As_VBW.csv",,,20,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","As",,,"1.5.1","1","QC","As_QC","^M.+?QC Spike","SAA_1.5.1_As_QC.csv",95,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","B",,,"1.5.1","1","VBW","B_VBW","^QC VBW","SAA_1.5.1_B_VBW.csv",,,20,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","B",,,"1.5.1","1","QC","B_QC","^M.+?QC Spike","SAA_1.5.1_B_QC.csv",95,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Ba",,,"1.5.1","1","VBW","Ba_VBW","^QC VBW","SAA_1.5.1_Ba_VBW.csv",,,5,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Ba",,,"1.5.1","1","QC","Ba_QC","^M.+?QC Spike","SAA_1.5.1_Ba_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Be",,,"1.5.1","1","VBW","Be_VBW","^QC VBW","SAA_1.5.1_Be_VBW.csv",,,5,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Be",,,"1.5.1","1","QC","Be_QC","^M.+?QC Spike","SAA_1.5.1_Be_QC.csv",90,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Bi",,,"1.5.1","1","VBW","Bi_VBW","^QC VBW","SAA_1.5.1_Bi_VBW.csv",,,20,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Bi",,,"1.5.1","1","QC","Bi_QC","^M.+?QC Spike","SAA_1.5.1_Bi_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Ca",,,"1.5.1","1","VBW","Ca_VBW","^QC VBW","SAA_1.5.1_Ca_VBW.csv",,,50,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Ca",,,"1.5.1","1","QC","Ca_QC","^M.+?QC Spike","SAA_1.5.1_Ca_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Cd",,,"1.5.1","1","VBW","Cd_VBW","^QC VBW","SAA_1.5.1_Cd_VBW.csv",,,5,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Cd",,,"1.5.1","1","QC","Cd_QC","^M.+?QC Spike","SAA_1.5.1_Cd_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Co",,,"1.5.1","1","VBW","Co_VBW","^QC VBW","SAA_1.5.1_Co_VBW.csv",,,5,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Co",,,"1.5.1","1","QC","Co_QC","^M.+?QC Spike","SAA_1.5.1_Co_QC.csv",95,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Cr",,,"1.5.1","1","VBW","Cr_VBW","^QC VBW","SAA_1.5.1_Cr_VBW.csv",,,5,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Cr",,,"1.5.1","1","QC","Cr_QC","^M.+?QC Spike","SAA_1.5.1_Cr_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Cu",,,"1.5.1","1","VBW","Cu_VBW","^QC VBW","SAA_1.5.1_Cu_VBW.csv",,,5,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Cu",,,"1.5.1","1","QC","Cu_QC","^M.+?QC Spike","SAA_1.5.1_Cu_QC.csv",95,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Fe",,,"1.5.1","1","VBW","Fe_VBW","^QC VBW","SAA_1.5.1_Fe_VBW.csv",,,5,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Fe",,,"1.5.1","1","QC","Fe_QC","^M.+?QC Spike","SAA_1.5.1_Fe_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","K",,,"1.5.1","1","VBW","K_VBW","^QC VBW","SAA_1.5.1_K_VBW.csv",,,10,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","K",,,"1.5.1","1","QC","K_QC","^M.+?QC Spike","SAA_1.5.1_K_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Li",,,"1.5.1","1","VBW","Li_VBW","^QC VBW","SAA_1.5.1_Li_VBW.csv",,,5,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Li",,,"1.5.1","1","QC","Li_QC","^M.+?QC Spike","SAA_1.5.1_Li_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Mg",,,"1.5.1","1","VBW","Mg_VBW","^QC VBW","SAA_1.5.1_Mg_VBW.csv",,,5,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Mg",,,"1.5.1","1","QC","Mg_QC","^M.+?QC Spike","SAA_1.5.1_Mg_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Mn",,,"1.5.1","1","VBW","Mn_VBW","^QC VBW","SAA_1.5.1_Mn_VBW.csv",,,5,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Mn",,,"1.5.1","1","QC","Mn_QC","^M.+?QC Spike","SAA_1.5.1_Mn_QC.csv",95,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Mo",,,"1.5.1","1","VBW","Mo_VBW","^QC VBW","SAA_1.5.1_Mo_VBW.csv",,,10,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Mo",,,"1.5.1","1","QC","Mo_QC","^M.+?QC Spike","SAA_1.5.1_Mo_QC.csv",90,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Na",,,"1.5.1","1","VBW","Na_VBW","^QC VBW","SAA_1.5.1_Na_VBW.csv",,,20,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Na",,,"1.5.1","1","QC","Na_QC","^M.+?QC Spike","SAA_1.5.1_Na_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Ni",,,"1.5.1","1","VBW","Ni_VBW","^QC VBW","SAA_1.5.1_Ni_VBW.csv",,,10,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Ni",,,"1.5.1","1","QC","Ni_QC","^M.+?QC Spike","SAA_1.5.1_Ni_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","P",,,"1.5.1","1","VBW","P_VBW","^QC VBW","SAA_1.5.1_P_VBW.csv",,,20,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","P",,,"1.5.1","1","QC","P_QC","^M.+?QC Spike","SAA_1.5.1_P_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Pb",,,"1.5.1","1","VBW","Pb_VBW","^QC VBW","SAA_1.5.1_Pb_VBW.csv",,,20,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Pb",,,"1.5.1","1","QC","Pb_QC","^M.+?QC Spike","SAA_1.5.1_Pb_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Sb",,,"1.5.1","1","VBW","Sb_VBW","^QC VBW","SAA_1.5.1_Sb_VBW.csv",,,20,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Sb",,,"1.5.1","1","QC","Sb_QC","^M.+?QC Spike","SAA_1.5.1_Sb_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Sr",,,"1.5.1","1","VBW","Sr_VBW","^QC VBW","SAA_1.5.1_Sr_VBW.csv",,,5,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Sr",,,"1.5.1","1","QC","Sr_QC","^M.+?QC Spike","SAA_1.5.1_Sr_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Ti",,,"1.5.1","1","VBW","Ti_VBW","^QC VBW","SAA_1.5.1_Ti_VBW.csv",,,5,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Ti",,,"1.5.1","1","QC","Ti_QC","^M.+?QC Spike","SAA_1.5.1_Ti_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","V",,,"1.5.1","1","VBW","V_VBW","^QC VBW","SAA_1.5.1_V_VBW.csv",,,5,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","V",,,"1.5.1","1","QC","V_QC","^M.+?QC Spike","SAA_1.5.1_V_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Zn",,,"1.5.1","1","VBW","Zn_VBW","^QC VBW","SAA_1.5.1_Zn_VBW.csv",,,5,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_1.5.1_Calibration.csv","SAA 1.5.1 ICP-OES in wässriger Matrix (iTeva)",,0,"OES Wasser","Zn",,,"1.5.1","1","QC","Zn_QC","^M.+?QC Spike","SAA_1.5.1_Zn_QC.csv",90,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",,1,1,0,0,1
"eQuant (MS)",0,1,0,"iCAPQ_EvalR_Report.Rmd",,"SAA 1.5.2 ICP-MS in wässriger Matrix",,0,"MS Wasser","Ag","107Ag (sa-3V-H2)","107Ag (sa-3V-H2)","1.5.2","1","VBW","Ag_VBW","^QC VBW","SAA_1.5.2_Ag_VBW.csv",,,0.1,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",107,1,1,0,1,1
"eQuant (MS)",0,1,0,"iCAPQ_EvalR_Report.Rmd",,"SAA 1.5.2 ICP-MS in wässriger Matrix",,0,"MS Wasser","Ag","107Ag (sa-3V-H2)","107Ag (sa-3V-H2)","1.5.2","1","QC","Ag_QC","^M.+?QC Spike","SAA_1.5.2_Ag_QC.csv",100,15,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",107,1,1,0,1,1
"eQuant (MS)",0,1,0,"iCAPQ_EvalR_Report.Rmd",,"SAA 1.5.2 ICP-MS in wässriger Matrix",,0,"MS Wasser","As","75As (sa-3V-H2)","75As (sa-3V-H2)","1.5.2","1","VBW","As_VBW","^QC VBW","SAA_1.5.2_As_VBW.csv",,,0.1,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",75,1,1,0,1,1
"eQuant (MS)",0,1,0,"iCAPQ_EvalR_Report.Rmd",,"SAA 1.5.2 ICP-MS in wässriger Matrix",,0,"MS Wasser","As","75As (sa-3V-H2)","75As (sa-3V-H2)","1.5.2","1","QC","As_QC","^M.+?QC Spike","SAA_1.5.2_As_QC.csv",100,10,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",75,1,1,0,1,1
"eQuant (MS)",0,1,0,"iCAPQ_EvalR_Report.Rmd",,"SAA 1.5.2 ICP-MS in wässriger Matrix",,0,"MS Wasser","Ba","137Ba (sa-3V-H2)","137Ba (sa-3V-H2)","1.5.2","1","VBW","Ba_VBW","^QC VBW","SAA_1.5.2_Ba_VBW.csv",,,0.1,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",137,1,1,0,1,1
"eQuant (MS)",0,1,0,"iCAPQ_EvalR_Report.Rmd",,"SAA 1.5.2 ICP-MS in wässriger Matrix",,0,"MS Wasser","Ba","137Ba (sa-3V-H2)","137Ba (sa-3V-H2)","1.5.2","1","QC","Ba_QC","^M.+?QC Spike","SAA_1.5.2_Ba_QC.csv",100,10,,"%",,,,,,"Sadlowski","Kaiser","2","0.01",137,1,1,0,1,1
"eQuant (MS)",0,1,0,"iCAPQ_EvalR_Report.Rmd",,"SAA 1.5.2 ICP-MS in wässriger Matrix",,0,"MS Wasser","Be","9Be (sa-3V-H2)","9Be (sa-3V-H2)","1.5.2","1","VBW","Be_VBW","^QC VBW","SAA_1.5.2_Be_VBW.csv",,,0.1,"µg/L",,,,,,"Sadlowski","Kaiser","2","0.01",9,1,1,0,1,1
