"System","Cali.User.Selection","Analyt.User.Selection","Chromatography","Report.File","Cali.Default.File","SAA.Menue","FullName","Solids","Method","Element","Analyt","Signal.Name","SAA","Version","QC.Kind","QC.Name","QC.RegEx","Filename","Zielwert","Unsicherheit","LimitBG","Unit.Accept","QC.Norm","Unit.Norm","Datum.Val","Datum.Reval","Datum.Next.Reval","Operator.Reval","BGMethod","Significant.Digits","Alpha","Masse","UseMeans","UseIntCorr","outlier","BG.SAA","QC.Spike"
"tQuant (MS)",1,0,1,"Br_BrO3_Report.rmd","SAA_1.4.3_Calibration.csv","SAA 1.4.3 Bromat/Bromid",,0,"Bromat/Bromid","Br","Bromid","79Br (sa-3V-H2)","1.4.3","1","QC","Bromid QC","^M.+?QC Spike","SAA_1.4.3_Bromid QC.csv",100,20,,"%",50,"µg/L",,,,"Sadlowski","SN","2","0.01",81,0,0,0,1,1
"DMA80evo",0,0,0,"DMA80evo_Report.Rmd","SAA_5.1.3_Calibration.csv","SAA 5.1.3 Hg in Kohle DMA80evo",,1,"DMA","Hg","Hg",,"5.1.3","2","VBW","VBW","BW","SAA_5.1.3_VBW.csv",,,0.05,"ng",,,,,,"Sadlowski","DIN32645","3","0.01",,0,0,0,0,0
"DMA80evo",0,0,0,"DMA80evo_Report.Rmd","SAA_5.1.3_Calibration.csv","SAA 5.1.3 Hg in Kohle DMA80evo",,1,"DMA","Hg","Hg",,"5.1.3","2","QC","NIST 1632d Z0","^NIST 1632.+?d?Z0","SAA_5.1.3_QC_NIST_Zelle0.csv",100,10,,"%",92.8,"µg/kg",,,,"Sadlowski","DIN32645","3","0.01",,0,0,0,0,0
"DMA80evo",0,0,0,"DMA80evo_Report.Rmd","SAA_5.1.3_Calibration.csv","SAA 5.1.3 Hg in Kohle DMA80evo",,1,"DMA","Hg","Hg",,"5.1.3","2","QC","NIST 1632d Z1","^NIST 1632.+?d?Z1","SAA_5.1.3_QC_NIST_Zelle1.csv",100,10,,"%",92.8,"µg/kg",,,,"Sadlowski","DIN32645","3","0.01",,0,0,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Al",,,"5.1.1","2","VBW","Al_VBW","VBW","SAA_5.1.1_Al_VBW.csv",,,10,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Al",,,"5.1.1","2","QC","Al_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Al_NBS1633c.csv",100,20,,"%",13.28,"%",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","As",,,"5.1.1","2","VBW","As_VBW",,"SAA_5.1.1_As_VBW.csv",,,10,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","As",,,"5.1.1","2","QC","As_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_As_NBS1633c.csv",100,20,,"%",186.2,"mg/kg",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Ba",,,"5.1.1","2","VBW","Ba_VBW",,"SAA_5.1.1_Ba_VBW.csv",,,2.5,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Ba",,,"5.1.1","2","QC","Ba_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Ba_NBS1633c.csv",100,20,,"%",0.1126,"%",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
