"Labels","StartTime","Concentration","WFR","Defined","Comment","TimeStamp","Operator","Outlier"
"M QC MM3","2024-04-24 16:54:31","44.2021187829459","0.884042375658917","5000","","","","0"
"M LR-20240327-8  QC MM3","2024-03-27 13:04:02","4674.56425182943","93.4912850365885","5000","Fli","2024-03-27","Fassbender","0"
"M LR-20240327-8  QC MM3","2024-03-27 10:21:59","4703.48713860473","94.0697427720946","5000","","","","0"
"M LR-20240312-68 QC MM3","2024-03-13 12:19:41","4803.25979732526","96.0651959465052","5000","","","","0"
"M LR-20240308-23 QC MM3","2024-03-11 14:19:07","4362.01758874621","87.2403517749242","5000","PM","2024-03-11","Schützmann","0"
"M LR-20240308-22 QC MM3","2024-03-11 14:15:09","4503.79935072687","90.0759870145374","5000","","","","0"
"M LR-20240305-8 QC MM3","2024-03-07 12:14:46","5054.37877997926","101.087575599585","5000","","","","0"
"M LR-20240305-8 QC MM3","2024-03-05 11:29:11","3515.30622181225","70.3061244362449","5000","","","","0"
"M LR-20240305-8 QC MM3","2024-03-05 11:21:14","3482.73549570863","69.6547099141727","5000","","","","0"
"M LR-20240213-493 QC MM3","2024-02-13 11:35:06","4080.65429368147","81.6130858736295","5000","","","","0"
"M LR-20231023-4 QC MM3","2023-10-23 18:35:05","4659.91731933805","93.198346386761","5000","","","","0"
"M LR-20231023-4 QC MM3","2023-10-23 10:42:23","4744.99573925702","94.8999147851404","5000","","","","0"
"M LR-20230727-89 QC MM3","2023-08-03 15:34:55","3822.63215218951","76.4526430437901","5000","","","","0"
"M LR-20230724-2994 QC MM3","2023-07-25 10:48:10","4714.2242835983","94.284485671966","5000","","","","0"
"M LR-20230710-17 QC MM3","2023-07-25 10:24:28","4833.11892459291","96.6623784918583","5000","","","","0"
"M LR-20230522-92 QC MM3","2023-05-23 11:23:45","4468.14665134447","89.3629330268895","5000","","","","0"
"M LR-20230421-30 QC MM3","2023-04-24 17:42:53","4603.81166551449","92.0762333102898","5000","","","","0"
"M LR-20230327-4 QC MM3","2023-03-28 12:15:05","4841.9153189054","96.8383063781081","5000","","","","0"
"M LR-20230314-26 QC MM3","2023-03-21 09:47:40","5850.23587174103","117.004717434821","5000","","","","0"
"M 230224/018 QC MM3","2023-03-07 12:50:26","4484.67826268227","89.6935652536454","5000","","","","0"
"M 230224/015 QC MM3","2023-03-07 10:18:24","4301.46596924858","86.0293193849717","5000","","","","0"
"M 230203/053 QC MM3","2023-02-06 12:02:09","4403.74494305347","88.0748988610695","5000","","","","0"
"M 230203/056 QC MM3","2023-02-06 11:32:53","4397.40111571284","87.9480223142569","5000","","","","0"
"M 230117/003 QC MM3","2023-01-17 12:06:51","4870.56557264407","97.4113114528814","5000","","","","0"
"M 230104/003 QC MM3","2023-01-04 14:06:50","4930.43428518491","98.6086857036982","5000","","","","0"
"M 221206/041 QC MM3","2023-01-02 12:33:01","4509.81896361844","90.1963792723688","5000","","","","0"
"M 221206/009 QC MM3","2022-12-06 14:43:43","4593.40519009918","91.8681038019837","5000","","","","0"
"M 221128/003 QC MM3","2022-11-28 14:33:53","5043.57635933336","100.871527186667","5000","","","","0"
"M 220902/002 QC MM3","2022-09-05 14:38:56","4534.4141751994","90.688283503988","5000","v. 30.08.2022","2022-09-07","Schützmann","0"
"M 220802/003 QC MM3","2022-08-03 16:11:35","5076.10408177728","101.522081635546","5000","","","","0"
"M 220714/003 QC MM3","2022-07-21 15:07:16","4144.34915216617","82.8869830433234","5000","12.07.2022 alt","2022-07-22","Schützmann","0"
"M 220714/003 QC MM3","2022-07-21 15:03:20","4162.42976431089","83.2485952862179","5000","12.07.2022 neu","2022-07-22","Schützmann","0"
"M 220711/003 QC MM3","2022-07-21 11:57:46","4562.4819900618","91.2496398012359","5000","07.07.2022","2022-07-22","Schützmann","0"
"M 220704/003 QC MM3","2022-07-05 10:53:50","4668.66551763926","93.3733103527851","5000","28.06.2022","2022-07-06","Schützmann","0"
"M 220620/006 QC MM3","2022-06-21 13:01:53","4573.92791969164","91.4785583938328","5000","08.06.2022","2022-06-29","Schützmann","0"
"M 220601/003 QC MM3","2022-06-01 16:05:53","4563.62353553513","91.2724707107026","5000","","","","0"
