"Labels","StartTime","Intensity","Concentration","Comment","TimeStamp","Operator","Outlier"
"M LR-20230406-20 QC VBW","2023-04-13 12:39:42","25.8545974983191","0.693068627518317","QC vom 06.04","2023-04-14","Schützmann","0"
"M LR-20230406-12 QC VBW","2023-04-13 10:09:11","20.8000360960774","0.56953553973133","QC vom 31.03","2023-04-14","Schützmann","0"
"M LR-20230327-2 QC VBW","2023-03-28 12:07:08","4.03636738909489","0.0491403475516026","","","","0"
"M LR-20230317-93 QC VBW","2023-03-21 15:32:32","32.000065861984","0.558816005757014","QC´s vom 17.03","2023-03-22","Schützmann","0"
"M LR-20230314-24 QC VBW","2023-03-21 09:39:42","21.6363985164322","0.358136401627007","QC´s vom 10.03.23","2023-03-22","Schützmann","0"
"M LR-20230308-35 QC VBW","2023-03-09 12:00:14","38.7273651493662","0.70546276847951","","","","0"
"M 230224/016 QC VBW","2023-03-07 12:42:34","25.2889354312183","0.567728947242415","","","","0"
"M 230224/013 QC VBW","2023-03-07 10:10:28","41.9637398112228","0.784610777335378","","","","0"
"M 230210/006 QC VBW","2023-02-15 14:52:09","11.4000149440236","0.582179265201097","","","","0"
"M 230203/057 QC VBW","2023-02-06 15:41:03","21.6000374691755","1.12431769254893","","","","0"
"M 230203/051 QC VBW","2023-02-06 11:48:43","12.9454710691169","0.561821321080425","","","","0"
"M 230203/054 QC VBW","2023-02-06 11:24:56","19.0000287680533","0.764231780398992","","","","0"
"M 230117/001 QC VBW","2023-01-17 11:58:54","19.7091220364248","0.433291561896809","","","","0"
"M 230104/001 QC VBW","2023-01-04 13:58:54","12.7636523345701","0.452221279426537","","","","0"
"M 230103/001 QC VBW","2023-01-03 15:01:26","14.4363835636713","0.58750336028135","","","","0"
"M 230103/001 QC VBW","2023-01-03 14:49:09","11.1200137600219","0.569453899453776","","","","0"
"M 221206/039 QC VBW","2023-01-02 12:25:03","5.60000564364288","0.0701953439141367","","","","0"
"M 221128/001 QC VBW","2022-12-06 14:47:41","2.80000241454767","0.198996463829284","v. 06.12.2022","2022-12-07","Schützmann","0"
"M 221206/007 QC VBW","2022-12-06 14:35:46","5.16364130909617","0.401530088448669","","","","0"
"M 221128/001 QC VBW","2022-11-28 13:51:43","16.4000241164082","0.447293414793034","","","","0"
"M 221117/018 QC VBW","2022-11-17 12:07:58","7.78182702546735","0.290402298369637","","","","0"
"M 221117/016 QC VBW","2022-11-17 11:20:27","7.20000773819145","0.263413418358318","","","","0"
"M 221102/001 QC VBW","2022-10-31 17:43:05","5.60000605091672","0.0942727958515212","","","","0"
"M 220902/001 QC VBW","2022-09-05 14:30:58","14.6545648000324","0.222808367470386","v. 30.08.2022","2022-09-07","Schützmann","0"
"M 220810/001 QC VBW","2022-08-10 15:39:55","12.690925701845","0.116299639682322","v. 02.08.2022 CA","2022-08-11","Schützmann","0"
"M 220802/001 QC VBW","2022-08-03 16:03:37","16.0363870545881","0.367373269119302","v. 19.07.2022","2022-08-04","Schützmann","0"
"M 220711/001 QC VBW","2022-07-21 17:45:34","34.6546273457054","1.00658333972327","21.07.2022","2022-07-22","Schützmann","0"
"M 220714/001 QC VBW","2022-07-21 14:51:24","146.691889461804","4.92715043339397","12.07.2022","2022-07-22","Schützmann","0"
