"Labels","StartTime","Concentration","WFR","Defined","Comment","TimeStamp","Operator","Outlier"
"M 210420/003 QC MM3","2021-04-20 11:13:04","4.56354922655587","91.2709845311173","5","","","","0"
"M 210308/003 QC MM3","2021-03-08 12:44:40","4.25534392888985","85.106878577797","5","","","","0"
"M 210303/003 QC MM3","2021-03-03 10:39:08","5.18705323845091","103.741064769018","5","","","","0"
"M 210302/003 QC MM3","2021-03-02 10:18:02","4.59478260611859","91.8956521223717","5","","","","0"
"M 210217/008 QC MM3","2021-02-17 14:12:09","6.07417119546721","121.483423909344","5","","","","0"
"M 210125/013 QC MM3","2021-01-25 10:59:52","0.652684886725003","13.0536977345001","5","Einbruch der Empfindlichkeit nach erfolgreicher Kalibration","2021-01-26","Dronov","0"
"M 210118/016 QC MM3","2021-01-18 14:22:08","5.74163396867766","114.832679373553","5","","","","0"
"M 201215/14 QC MM3 5 v. 15.12.20","2020-12-15 14:40:50","5.41324434746177","108.264886949235","5","","","","0"
"M 201119/02 QC MM3","2020-11-19 12:18:10","7.05160951025211","141.032190205042","5","","","","0"
"M 201118/02 QC MM3","2020-11-18 14:09:48","53.0081425692152","96.3784410349368","55","QC Probe falsch angesetzt (Faktor 10 zu hoch); Wert akzeptiert, da Probenkonzentration <BG","2020-11-20","Sadlowski","0"
"M 201105/04 QC MM3","2020-11-05 11:21:58","4.92128075612476","98.4256151224953","5","","","","0"
"M 201022/08 QC MM3","2020-10-22 12:49:21","1.50256706549667","30.0513413099334","5","QC Standard ist aufgrund falscher Lagerbedingungen verfallen","2020-10-23","Dronov","0"
"M 200812/03 QC MM3","2020-08-12 09:35:40","4.94889200867098","98.9778401734196","5.0","","","","0"
"M 200806/48 QC MM3","2020-08-06 11:09:58","5.79143316776658","115.828663355332","5.0","","","","0"
"M 200723/52 QC MM3","2020-07-23 11:01:51","5.38125311092355","107.625062218471","5.0","","","","0"
"M 200605/03 QC MM3","2020-06-08 15:21:02","5.11859184555616","102.371836911123","5.0","","","","0"
"M 200519/21 QC MM3","2020-05-19 13:01:33","5.03271212812869","100.654242562574","5.0","","","","0"
"M 200420/05 QC MM3","2020-04-20 09:43:00","4.30448663910957","86.0897327821915","5.0","","","","0"
"M 200326/02 QC MM3","2020-03-26 10:54:09","4.2461564045518","84.923128091036","5.0","","","","0"
"M 200311/04 QC MM3","2020-03-11 11:56:27","4.91103456681738","98.2206913363475","5.0","","","","0"
"M 200206/46 QC MM3","2020-02-06 12:18:14","4.82290417605503","96.4580835211006","5.0","","","","0"
"M 200122/02 QC MM3","2020-01-22 10:50:42","4.85892200768135","97.1784401536271","5.0","","","","0"
"M 200115/18 QC MM3","2020-01-15 12:08:38","5.58998224665086","111.799644933017","5.0","","","","0"
"M 200109/55 QC MM3","2020-01-09 13:42:32","4.89697084760996","97.9394169521993","5.0","","","","0"
"M 191211/10 QC MM3.1","2019-12-11 11:00:46","5.22338973717488","104.467794743498","5.0","","","","0"
"M 191120/16 QC MM3.1","2019-11-20 11:54:44","5.99033501287538","119.806700257508","5.0","","","","0"
"M 191113/02 QC MM3.1","2019-11-13 10:26:25","4.82641406193257","96.5282812386514","5.0","","","","0"
"M 191112/07 QC MM3.1","2019-11-12 11:29:24","4.39664269678248","87.9328539356496","5.0","","","","0"
"M 191111/34 QC MM3.1","2019-11-11 12:34:34","3.98685217313361","79.7370434626722","5.0","","","","0"
"M 191031/02 QC MM3.1","2019-10-31 16:51:39","5.1640808015796","103.281616031592","5.0","","","","0"
"M 190904/02 QC MM3.1","2019-09-04 13:11:31","4.90622189743277","98.1244379486553","5.0","","","","0"
"M 190826/15 QC MM3.1","2019-08-26 13:11:36","4.73538660535514","94.7077321071027","5.0","","","","0"
"M 190502/05 QC MM3.1","2019-05-02 11:11:51","3.96642605548299","79.3285211096598","5.0","","","","0"
"M 190328/06 QC MM3.2","2019-03-28 12:54:15","4.46406514252203","89.2813028504405","5.0","","","","0"
"M 190208/02 QC MM3.1","2019-02-11 09:28:35","3.37077293468561","67.4154586937122","5.0","","","","0"
"M 190131/28 QC MM3.2","2019-01-31 14:33:27","4.77129928123138","95.4259856246277","5.0","","","","0"
"M 190117/03 QC MM3.2","2019-01-17 15:05:35","4.45998914049747","89.1997828099493","5.0","","","","0"
