"Labels","StartTime","Concentration","WFR","Defined","Comment","TimeStamp","Operator","Outlier"
"M 210217/008 QC MM3","2021-02-17 14:12:09","4.96516822780448","99.3033645560896","5","","","","0"
"M 210125/013 QC MM3","2021-01-25 10:59:52","0.5956697686756","11.913395373512","5","Einbruch der Empfindlichkeit nach erfolgreicher Kalibration","2021-01-26","Dronov","0"
"M 210118/016 QC MM3","2021-01-18 14:22:08","4.32135197443451","86.4270394886903","5","","","","0"
"M 201215/14 QC MM3 5 v. 15.12.20","2020-12-15 14:40:50","4.35746916832981","87.1493833665962","5","","","","0"
"M 201119/02 QC MM3","2020-11-19 12:18:10","4.75098947055515","95.0197894111029","5","","","","0"
"M 201118/02 QC MM3","2020-11-18 14:09:48","78.3011486252226","142.365724773132","55","QC Probe falsch angesetzt (Faktor 10 zu hoch); Wert akzeptiert, da Probenkonzentration <BG","2020-11-20","Sadlowski","0"
"M 201105/04 QC MM3","2020-11-05 11:21:58","5.10649076557139","102.129815311428","5","","","","0"
"M 201022/08 QC MM3","2020-10-22 12:49:21","3.79967723630976","75.9935447261951","5","QC Standard ist aufgrund falscher Lagerbedingungen verfallen","2020-10-23","Dronov","0"
"M 200812/03 QC MM3","2020-08-12 09:35:40","3.77020328541494","75.4040657082987","5.0","","","","0"
"M 200806/48 QC MM3","2020-08-06 11:09:58","4.28517712070328","85.7035424140656","5.0","","","","0"
"M 200723/52 QC MM3","2020-07-23 11:01:51","5.05410132917166","101.082026583433","5.0","","","","0"
"M 200605/03 QC MM3","2020-06-08 15:21:02","3.89150483905045","77.830096781009","5.0","","","","0"
"M 200519/21 QC MM3","2020-05-19 13:01:33","4.76361205143255","95.272241028651","5.0","","","","0"
"M 200420/05 QC MM3","2020-04-20 09:43:00","4.54244363097354","90.8488726194707","5.0","","","","0"
"M 200326/02 QC MM3","2020-03-26 10:54:09","4.79039172694237","95.8078345388474","5.0","","","","0"
"M 200311/04 QC MM3","2020-03-11 11:56:27","4.90907701929995","98.1815403859989","5.0","","","","0"
"M 200206/46 QC MM3","2020-02-06 12:18:14","4.59112675433127","91.8225350866255","5.0","","","","0"
"M 200122/02 QC MM3","2020-01-22 10:50:42","4.55026670396208","91.0053340792417","5.0","","","","0"
"M 200115/18 QC MM3","2020-01-15 12:08:38","4.54807498517155","90.9614997034309","5.0","","","","0"
"M 200109/55 QC MM3","2020-01-09 13:42:32","5.05337390769205","101.067478153841","5.0","","","","0"
"M 191211/10 QC MM3.1","2019-12-11 11:00:46","4.9613862674758","99.227725349516","5.0","","","","0"
"M 191120/16 QC MM3.1","2019-11-20 11:54:44","5.63127105839852","112.62542116797","5.0","","","","0"
"M 191113/02 QC MM3.1","2019-11-13 10:26:25","4.54054355512586","90.8108711025171","5.0","","","","0"
"M 191112/07 QC MM3.1","2019-11-12 11:29:24","3.95557479048896","79.1114958097791","5.0","","","","0"
"M 191111/34 QC MM3.1","2019-11-11 12:34:34","4.05205865338365","81.041173067673","5.0","","","","0"
"M 191031/02 QC MM3.1","2019-10-31 16:51:39","5.22909238167401","104.58184763348","5.0","","","","0"
"M 190904/02 QC MM3.1","2019-09-04 13:11:31","3.86573035690689","77.3146071381378","5.0","","","","0"
"M 190826/15 QC MM3.1","2019-08-26 13:11:36","4.70088589417591","94.0177178835183","5.0","","","","0"
"M 190502/06 QC MM3.2","2019-05-02 11:22:28","4.97603956758887","99.5207913517773","5.0","","","","0"
"M 190328/05 QC MM3.1","2019-03-28 12:43:36","4.93025874959053","98.6051749918105","5.0","","","","0"
"M 190208/03 QC MM3.2","2019-02-11 09:39:03","4.91996844554936","98.3993689109872","5.0","","","","0"
"M 190131/28 QC MM3.2","2019-01-31 14:33:27","4.88995793265836","97.7991586531673","5.0","","","","0"
"M 190117/03 QC MM3.2","2019-01-17 15:05:35","4.58634264288124","91.7268528576249","5.0","","","","0"
