"Labels","StartTime","Concentration","WFR","Defined","Comment","TimeStamp","Operator","Outlier"
"NIST 1632 dZ1","2020-09-15 13:39:44","84.6925","91.2634698275862","92.8","","","","0"
"NIST 1632 dZ1","2020-09-15 13:03:01","90.629","97.6605603448276","92.8","","","","0"
"NIST 1632 dZ1","2020-09-15 12:55:41","97.034","104.5625","92.8","","","","0"
"NIST 1632 d","2020-06-19 10:37:51","98.3169","105.944935344828","92.8","","","","0"
"NIST 1632 d","2020-06-19 10:30:22","91.212","98.2887931034483","92.8","","","","0"
"NIST 1632 d","2020-06-19 09:53:02","93.7434","101.016594827586","92.8","","","","0"
"NIST 1632 d","2020-06-19 09:45:58","90.5917","97.6203663793104","92.8","","","","0"
"NIST 1632 d","2019-11-26 15:13:13","92.3092","99.4711206896552","92.8","","","","0"
"NIST 1632 d","2019-11-20 12:55:50","89.3549","96.2876077586207","92.8","","","","0"
"NIST 1632 d","2019-11-19 14:57:31","85.9098","92.5752155172414","92.8","","","","0"
"NIST 1632 d","2019-11-19 13:07:40","98.5125","106.155711206897","92.8","","","","0"
"NIST 1632 d","2019-11-19 13:00:21","96.2648","103.733620689655","92.8","","","","0"
"NIST 1632 d","2019-11-19 11:17:57","87.2923","94.0649784482759","92.8","","","","0"
"NIST 1632 d","2019-11-18 11:12:54","90.5802","97.607974137931","92.8","","","","0"
"NIST 1632 d","2019-11-18 09:16:19","92.0209","99.1604525862069","92.8","","","","0"
"NIST 1632 d","2019-11-15 12:19:44","90.8109","97.8565732758621","92.8","","","","0"
"NIST 1632 d","2019-11-15 10:46:05","88.9149","95.8134698275862","92.8","","","","0"
"NIST 1632 d","2019-11-15 10:39:47","88.9416","95.8422413793103","92.8","","","","0"
"NIST 1632 d","2019-11-15 08:33:19","96.6753","104.175969827586","92.8","","","","0"
"NIST 1632 d","2019-11-15 08:27:01","95.7023","103.127478448276","92.8","","","","0"
"NIST 1632 d","2019-01-31 16:47:30","91.0085","98.0695043103448","92.8","","","","0"
"NIST 1632 d","2019-01-16 09:07:17","92.8118","100.012715517241","92.8","","","","0"
"NIST 1632 d","2018-12-12 08:56:46","90.4595","97.4779094827586","92.8","","","","0"
"NIST 1632 d","2018-12-11 14:42:01","93.6776","100.945689655172","92.8","","","","0"
"NIST 1632 d","2018-12-05 14:33:47","92.5652","99.7469827586207","92.8","","","","0"
