"SampleNames.Simple","ProcessTime","CalFile","MethodFile","Height","Hg..ng.","CalFactor"
"BW",2019-01-31 16:02:48,"Calib_2018_11.c80","BV-Method.m80",3e-04,0.022,1
"BW",2019-01-16 08:24:54,"Calib_2018_11.c80","BV-Method.m80",0.0017,0.0321,1
