"SampleNames.Simple","ProcessTime","CalFile","MethodFile","Height","Hg..ng.","Concentration","CalFactor","WFR"
"NIST 1632 d",2019-01-31 17:19:35,"Calib_2018_11.c80","Feststoffe std.m80","0.2275","1.7365",90.4402,1,97.4571120689655
"NIST 1632 d",2019-01-16 10:23:02,"Calib_2018_11.c80","Feststoffe std.m80","0.2501","1.9182",91.3434,1,98.4303879310345
"NIST 1632 d",2018-12-12 08:44:06,"Calib_2018_11.c80","Feststoffe std.m80","0.216","1.6816",85.3617,1,91.9845905172414
"NIST 1632 d",2018-12-11 16:17:02,"Calib_2018_11.c80","Feststoffe std.m80","0.2621","2.0422",92.8271,1,100.029202586207
"NIST 1632 d",2018-12-05 13:16:36,"Calib_2018_11.c80","Feststoffe std.m80","0.2448","1.9069",92.12,1,99.2672413793103
