,,Raw.Average,Raw.Average,Raw.Average,Raw.STD,Raw.STD,Raw.STD,Raw.RSD,Raw.RSD,Raw.RSD,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,ExtCal.Average,ExtCal.Average,ExtCal.Average,ExtCal.STD,ExtCal.STD,ExtCal.STD,ExtCal.RSD,ExtCal.RSD,ExtCal.RSD,ExtCal.StandardConcentration,ExtCal.StandardConcentration,ExtCal.StandardConcentration,StartTime,BrigidMS,BrigidMS,BrigidMS,BrigidMS,BrigidMS,
,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,,ExtCal,ExtCal,ExtCal,ExtCal,ExtCal,
,,187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),,Sample Type,Standard,Dilution Factor,Amount,Final Quantity,
,,Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (%),Y (%),Y (%),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (%),Y (ng/l),Y (ng/l),Y (%),Y (ng/l),Y (ng/l),Y (%),Y (%),Y (%),Y (%),Y (ng/l),Y (ng/l),,,,,,,
8,Rinse,252161.16505087959,34.954609181954638,34.13642354557787,4019.7743558802381,4.9822568406468219,4.0625928989254243,1.5941290384937554,14.253504637147877,11.901050189107183,246976.89718139116,36.500067800137352,33.500051000084561,257870.139481212,33.500059800122962,41.000092800251359,254971.58055693889,47.500106600271131,32.000055200110232,249231.55367392319,33.00005080008448,32.000056000127039,257422.06311071105,32.5000530000964,38.500071400150162,250602.40648253891,29.000052400115521,26.500035800054643,246708.79994576826,33.00005600010752,33.500055000099444,249323.16153074027,39.500075800164225,36.000069200144,250754.41783124395,31.000053200111516,37.000064400126391,254685.29543873138,34.000064400169123,30.000046000084961,255226.50032647606,35.000061200120804,35.50006220012375,97.011754198772238,-0.08494812723698035,-0.078642811822212624,1.5464925444357873,0.10618240341127301,0.080329041415745026,1.5941290384947595,124.99675609687692,102.14416239000259,,,,2019-02-01T09:10:04.2332816,UNKNOWN,,1,,,
9,S0,258534.74916493185,30.136412636463458,28.772774200092179,6882.1478811280158,2.67480648548036,3.2508832187691858,2.6619817658389744,8.8756631976958875,11.298469852652481,257128.98861345998,27.500041400077368,23.000031200048806,272449.30044425221,31.500061400153839,30.000052000108958,250433.29053477995,27.500035800053364,25.500035000059761,258469.01730285323,27.00003720005904,24.000030400045119,246413.08908574874,30.50005140011384,29.500054200116558,258940.31157038789,30.000050000102721,32.500059800125676,266163.44172663859,32.500064200171288,30.500049000089842,256241.14283784595,29.000049200108798,32.000050000088642,258911.25386051118,32.500048600082962,28.000052000119677,259772.19071492888,28.000040000065447,31.500054200120719,258960.21412284407,35.500059800109355,30.000048400090247,99.46380733436466,-0.20483115219082035,-0.20490636680287408,2.6477084148497196,0.053206651260813233,0.064517490603680963,2.6619817658386968,25.975858990065149,31.486327931307613,,,,2019-02-01T09:13:25.982821,UNKNOWN,,1,,,
10,M 190131/26 QC VBW,247123.74409014502,46.136467363903989,47.000108509380446,9854.850781415953,4.7596986876700456,5.0990396469491417,3.9878202791477344,10.316565094001788,10.848995478236944,238084.53296173667,40.000078800184482,52.000118800290558,228724.30935040355,48.500111800286632,42.000090400229439,243955.84240972655,46.00009680021904,47.5001134003076,259804.71818029988,40.500074600153837,46.50011220033192,259274.676406657,46.500112600337687,38.000069600140954,253539.42835625884,51.0001280003624,52.000130800377427,257549.57732019544,38.000075200178415,44.500100200256711,238147.03006324644,52.000122800312639,44.000097200263852,245825.42613077583,46.000096000214718,54.000143600449277,246669.06204653284,51.000123200318235,44.0000944002288,246786.58176576207,48.000121200375837,52.500123000308406,95.0737513983017,0.1790807384739693,0.21149990087760495,3.7913703384080457,0.1239557984116772,0.11704153517954478,3.9878202791478059,69.217828487844372,55.338813254232569,,,,2019-02-01T09:16:45.3452238,UNKNOWN,,1,,,
11,M 190131/27 QC MM3.1,259150.12308380668,2180.6004748852843,2262.7514082694197,4786.7149450942215,57.147866645857434,59.3227381011062,1.847081872134108,2.6207398972919989,2.6217081507189053,262989.29217267182,2083.1745147028155,2153.6867364898471,268242.47006665991,2143.6844833369792,2216.1974940957525,252852.01290832902,2190.1930543253784,2313.2153493696351,251156.59323422256,2236.2010045587817,2334.71894722255,257591.16662135223,2271.7077829290006,2257.2048054747488,255756.01193775068,2160.1875463614851,2261.2055943936875,260063.71919392413,2178.1908888297626,2264.20636453231,259961.00708277355,2222.6984964058188,2271.7073468092608,262627.580396106,2192.6936918334177,2179.6907509537159,259683.20252854019,2096.6772837177832,2321.7162912132721,259728.29777954327,2211.1964767369018,2316.7158104088348,99.700554746862423,4491.0527210729933,4512.8603225095994,1.8415508731469208,175.00523884764539,188.48147403977788,1.8470818721345923,3.8967531604891392,4.1765412747134043,,,,2019-02-01T09:20:06.7607442,UNKNOWN,,100,,,
12,M 190131/28 QC MM3.2,258709.21504267017,2163.9162677133054,2229.7910781041655,6943.0944915385253,66.474499024677442,76.38514852132046,2.6837445625558281,3.0719533845421676,3.4256639230194326,251302.01902620081,2161.6877465807675,2164.188636555522,254581.52358195809,2199.1949738220746,2234.7013304777997,262319.3233961761,2054.6697374949254,2102.6775888610027,261349.49099020675,2144.6857816563961,2171.6897276729328,243623.05033090903,2282.2099394601159,2370.2258420166936,264866.0515627045,2102.1778831441943,2247.2027215523754,262657.84858120908,2163.1885521574354,2184.1917737152985,261677.26869051476,2156.1894329597058,2273.2078631221962,263339.71678111784,2223.1989971375456,2307.2139947522805,253908.19873159326,2225.6994577926716,2283.2098226070716,266176.8737967817,2090.1764426405293,2189.19255781265,99.530928061871634,4467.0583716004749,4455.7647059255,2.671155869921177,248.37086011115508,243.48956808385029,2.683744562555169,5.56005405459181,5.4645966327630724,,,,2019-02-01T09:23:28.4202784,UNKNOWN,,100,,,
13,M 190131/29 QC MM2.1,245883.20018242142,2197.5581361312584,2286.9830353140378,4007.7230537411488,77.186019755105363,56.564565720832526,1.6299295969662866,3.512353938949222,2.4733268610829615,235536.30084490505,2287.2103358426903,2389.7292474701503,250584.58905653236,2070.1731850360434,2177.6906285707964,246543.06643283917,2098.6769207793063,2230.2000160369594,243483.31339264155,2306.2139799678694,2315.2159094655904,246570.57778156316,2235.701538506893,2285.2096232973663,248944.40771317197,2200.6945294681923,2284.7093806442426,247088.70541973249,2193.1932863125489,2338.7201954659276,248325.67587732407,2243.7020312520808,2248.2025618867474,246155.55563524607,2211.1969328575328,2322.2172852791632,243755.87719878671,2101.6776384973009,2283.2094629040521,247727.13265389338,2224.699118923384,2281.7090774334183,94.59648781719244,47.75332761690489,48.120541121062395,1.5418561526223844,2.2166292848225027,1.916243340069403,1.6299295969656074,4.6418320888653763,3.9821732994408534,,,,2019-02-01T09:26:50.3738295,UNKNOWN,,1,,,
14,M 190131/30 QC MM2.2,244432.08451297629,2406.2329254048323,2482.5660860059761,4282.1574846096037,55.019697927087769,44.069262143659373,1.7518802791956203,2.2865491260714537,1.7751496079832168,235151.65344848615,2503.7522337729579,2558.2640826925322,249593.97781160771,2330.7190633571172,2409.2329502014027,244582.80880940828,2345.7217689270237,2457.2434891371586,245875.25203442836,2388.2288588022047,2535.7578760970832,240979.45457057259,2403.7321603257888,2451.7413308416535,243884.58193897727,2436.2391800532764,2464.2438286220286,241421.01582158674,2407.2328058162893,2516.7543203951445,243637.43147306895,2357.2230867921153,2481.2476664621017,248472.75826623192,2438.2395224911129,2510.7537948267177,249864.49749682756,2482.2470598524478,2442.7402791988543,245289.49797154364,2375.2264392628185,2480.24732759106,94.038212808390838,52.678646249412836,52.614207237066026,1.6474369050976232,1.8026063013404094,1.6930301476436442,1.7518802791949975,3.4218918474210063,3.2178193620124076,,,,2019-02-01T09:30:12.6994019,UNKNOWN,,1,,,
15,Rinse,256108.925835674,32.500056563751748,34.045520236517355,4668.1118923214981,5.5497893978624759,5.6323084010340692,1.8227056620887465,17.076245350453686,16.543464050206623,247333.25497391122,34.000059200114876,39.500082600198319,256587.19127668356,32.500057000116556,23.50003980008632,250158.19418355994,34.500057800109673,37.000076800199352,250451.30791256577,33.500056600108557,36.500067800151768,257058.73830947312,22.500031800054,31.000058000136484,258396.46113777423,35.000071600190395,29.5000570001396,260761.28099845265,39.000074000151194,29.000051600110236,258392.80947247247,32.500057400119921,39.000072800156005,261672.44724704482,37.500068200138955,33.500061000136881,258747.60832485976,21.500026200038,33.000059200120475,257638.89035561695,35.000062400127042,43.00009600025551,98.530541593384569,-0.14840506149489044,-0.0901844672889974,1.795921760507901,0.11764084802146953,0.12123829603144744,1.8227056620872983,79.27010496573925,134.43367763424007,,,,2019-02-01T09:33:35.2449868,UNKNOWN,,1,,,
16,S4,256878.7171561461,2300.2584595029994,2376.1365601097564,8019.4114631290631,75.313834937376413,108.90861496914783,3.1218668295724905,3.2741466345329275,4.583432484373593,256369.87211277304,2249.2031716276924,2338.2199820225178,267004.42827677116,2194.6938090159606,2188.1931295863787,255727.27088474171,2333.7186675644771,2375.2274639445104,248579.75578456363,2385.2291541669338,2425.7362829020285,250593.64150845964,2330.2178612319558,2337.7192872355272,246301.34476098805,2352.2224191394562,2484.2475211289129,259132.62188596028,2378.7278161631375,2369.2261849588172,274016.95696000545,2172.1909653815992,2194.6943367634876,255080.95857505896,2356.7233014695207,2526.2563709298129,259284.71058107616,2319.715863546558,2441.7393741563765,253574.32738720853,2230.2000252257067,2456.2422275789554,98.826696658939227,47.896774249260474,47.915373787446555,3.0852378617577236,2.8219455270490266,3.4415508242863582,3.1218668295725664,5.8917235477347356,7.1825607362537518,,,,2019-02-01T09:36:56.9625244,UNKNOWN,,1,,,
17,S0,256389.39911916404,27.636406218261598,31.27278043647236,2526.6902274551935,3.0910514457434157,4.55173664885822,0.98548935179681307,11.184708392732008,14.554947098818522,254634.25553487259,32.000062000153925,32.0000556001208,261731.275894411,28.500045000080398,31.50004980008568,256386.42381836785,29.00004400007856,37.000071600160958,254553.3210130962,27.000042800081125,38.500072600150631,258224.97218307704,26.000038400069922,30.000050000097929,256840.50171619482,24.00002880003888,33.500054200102319,254977.77480186956,29.000043200076639,30.000051200102241,259303.25275394847,21.500029000051921,25.0000344000544,254122.43969663745,29.000045200084323,28.000043200078398,253285.9325232172,31.500050600094802,24.000031200046088,256223.24037511204,26.500039400067116,34.50007100019657,98.638445620682987,-0.25211939602738176,-0.14869316131075788,0.972071378371362,0.068660229032477621,0.093869379401850431,0.985489351798477,27.233219702390798,63.1295875172566,,,,2019-02-01T09:40:17.4869937,UNKNOWN,,1,,,
18,M 190128/04,237518.26896476653,89.363992983374132,88.182169565175585,2345.2846568472378,3.233382192507591,8.1556483065771435,0.98741232287910352,3.6182158882595483,9.2486364837613682,238533.26899926565,92.00037440165346,85.000322001327362,238371.74667706806,89.000372401744642,80.000290401153308,234369.04192645237,88.500337401357214,72.500252601003282,233116.08696144834,88.0003252012602,91.0003732017037,236462.56844691085,89.000354401550723,100.500467402443,238276.97563658957,94.000395201795868,83.000319201372179,236440.83630990019,84.50030580117371,96.500391001651309,239452.03690667503,83.500299401144716,95.500416601980419,241424.43149655015,91.00037680168785,84.500312601244246,238951.1444025916,91.000380801785312,89.000354001518588,237302.8208489799,92.5004010019617,92.500366201534021,91.378321169631789,1.2063532824258436,1.1616195488114831,0.90228080366917074,0.071951631217808884,0.18224828834135082,0.9874123228793027,5.9643913823587456,15.689154726073532,,,,2019-02-01T09:43:36.8843986,UNKNOWN,,1,,,
19,M 190128/05,259506.22045117748,139.90993513271204,143.81907098767394,5829.2899269835625,9.9419815491618362,10.245308371895707,2.246300653929898,7.1059868191142659,7.1237481243178,261992.64716479089,119.50064460382218,138.00081440503379,273203.63903367857,135.50076060440892,133.00075320450645,265244.71495564649,136.00081240532245,145.50087380542044,256302.36173623559,138.00080480491235,139.00082120512519,250407.56100316468,137.00080640502742,142.0008480052999,257546.86014863072,158.50104260707133,144.00089760597604,256376.04622892902,138.50081300501037,152.50101020717261,257533.34467068958,142.00090680639715,149.000922805913,259051.53653741177,144.50087460553598,164.50117980913922,258651.31570189103,152.00098240674726,126.00068600397397,258258.39778188389,137.50083820557705,148.50097380685276,99.837552964915673,2.0938966410426496,2.1253183010857781,2.2426516051188941,0.23204679422583768,0.23125506910851335,2.2463006539302834,11.082055803398715,10.880961641857139,,,,2019-02-01T09:46:56.2768032,UNKNOWN,,1,,,
