,,Raw.Average,Raw.Average,Raw.Average,Raw.STD,Raw.STD,Raw.STD,Raw.RSD,Raw.RSD,Raw.RSD,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,ExtCal.Average,ExtCal.Average,ExtCal.Average,ExtCal.STD,ExtCal.STD,ExtCal.STD,ExtCal.RSD,ExtCal.RSD,ExtCal.RSD,ExtCal.StandardConcentration,ExtCal.StandardConcentration,ExtCal.StandardConcentration,StartTime,BrigidMS,BrigidMS,BrigidMS,BrigidMS,BrigidMS,
,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,,ExtCal,ExtCal,ExtCal,ExtCal,ExtCal,
,,187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),,Sample Type,Standard,Dilution Factor,Amount,Final Quantity,
,,Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (%),Y (%),Y (%),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (%),Y (ng/l),Y (ng/l),Y (%),Y (ng/l),Y (ng/l),Y (%),Y (%),Y (%),Y (%),Y (ng/l),Y (ng/l),,,,,,,
20,M 190128/06,260554.86257757209,129.77345624074735,129.13708471340814,4977.9161321371521,11.868908237784869,7.8329986730072463,1.9105059421622317,9.1458674074045128,6.0656462010048431,261109.09100841987,137.50081420516526,122.50066660405787,267919.53237058956,97.000406801812161,119.50062780364412,267647.16311621212,132.50079980528929,122.50063300342906,258346.75046540744,126.50069700408974,121.50063420352349,249090.93110419804,128.50069380388794,130.50072140417819,260298.7145553391,141.00084400535974,132.0007444044295,260917.81890701287,126.00067520381315,132.5007514045347,261647.63639740544,134.50075900445918,142.00089680611447,260895.87582200742,131.00075600483109,124.00068920421943,258408.42037628434,136.00078360474163,132.0007244041189,259821.55423041605,137.00078920477159,141.50084260523983,100.24098785619935,1.8707534671478154,1.8167810006914156,1.9151100294758814,0.26491362164105275,0.1788612921073231,1.9105059421633006,14.160798111198739,9.844956108592811,,,,2019-02-01T09:50:15.9562242,UNKNOWN,,1,,,
21,M 190128/07,258902.4095750534,58.318343655054854,56.818337927767054,9869.0445915158689,6.3729150928778191,7.6134246625039035,3.8118782315368618,10.927805375565454,13.399590590247154,262324.80211844615,66.5002006006601,50.000124800379993,274017.64388767804,48.000109200284157,58.500160200494634,264512.41065269749,59.000160800497596,69.000231200875533,262879.08888761065,69.500221400789684,51.0001352004272,235915.41770595597,53.500135800390638,49.500112200283908,256454.06236180515,61.500192600676556,69.000214000753132,251139.36550371334,52.000135600408647,50.000121200330078,253279.84111183518,62.000174800543689,51.000130400379213,261814.30777083151,58.500151800417839,54.500145000435921,266070.19299941044,54.000142800449282,64.500196200677053,259519.37232560403,57.000154800485291,58.000146800400969,99.605254100476074,0.38720776254918204,0.36279380994977295,3.7968309985225592,0.13640075179221881,0.14098502367101445,3.8118782315363942,35.226760665701676,38.860923148201763,,,,2019-02-01T09:53:35.9046606,UNKNOWN,,1,,,
22,M 190128/08,259988.75570454189,45.181918182073481,44.545551927519419,3404.9091682676108,4.4061088189637125,4.3729722129844957,1.309637087588911,9.75192952456785,9.8168549355944883,252540.13538844418,47.500116200322005,40.000081200192163,255907.51062088242,51.000125200346069,40.000074800154721,261429.55686975,49.000123600362073,44.00008480017695,259958.11656716032,41.500084200198643,40.500080600182642,263029.088249368,44.500093800220711,44.000106400305121,263828.23149432632,46.000094000213274,48.000104000243354,260561.78814051035,43.000095200254563,48.000120400372964,263379.11046648247,47.000102000244162,47.000106400266716,260324.98753728546,46.500105800288722,43.50009060021,261076.93023660337,46.500101000244079,54.0001368004056,257840.8571791476,34.500059000114007,41.000085200203365,100.02319452229895,0.10632684825175956,0.11017054163753907,1.3099408516562618,0.0941538942431941,0.081752051220495434,1.3096370875899455,88.551382638802139,74.205000724657921,,,,2019-02-01T09:56:56.1741154,UNKNOWN,,1,,,
23,190131/01,255401.86370157727,12657.394950577314,13057.670512147945,2181.9654712186284,702.72603295053977,653.04357863239431,0.85432637005661494,5.5519009693103385,5.0012257394980848,256914.25644031825,12476.231612406215,13029.293153193841,251327.30508547736,12817.60458431474,13293.621591677913,254040.52086325051,10794.695818837481,11266.128944242975,257707.2425609405,12091.369578221646,12588.842774205046,254169.69197575265,12685.443266038399,13163.445416944591,255519.7423287016,12831.591663120817,13255.537552178186,254124.31638736659,12975.748853233712,13172.947791116119,257011.81057267948,13223.000074453308,13599.413552746788,253284.41006008646,13084.357493410003,13412.205087002827,258405.16233609832,13034.807109055286,13535.844340972335,256916.04210667833,13216.494403258845,13317.09542934674,98.25851977772389,268.47639585127763,267.91957513202357,0.83944844528595053,14.892490398641463,13.352628686039067,0.8543263700541327,5.54703900557841,4.983819744958633,,,,2019-02-01T10:00:16.7435873,UNKNOWN,,1,,,
24,190131/02,257232.50067344782,29853.504166247461,30750.190590046663,9277.56558344981,1519.432191828138,1578.5290465319924,3.6066848314892832,5.0896276141211478,5.1333959765535138,282081.72422945732,26353.279270058491,27098.382077234361,265087.93747020687,27385.501765735062,28226.880827653564,254601.49228118072,29934.894192747586,31063.630324471036,247568.76556268628,30171.396245942382,31578.879015361232,251088.71561731095,30646.557732947702,31500.208149736176,254223.88172749855,30863.591690782796,31940.818342605966,253447.03345757429,30790.396143784496,31861.091537556174,255498.71574562852,30376.406596220862,31568.864400471975,256507.63875839952,30807.457643793525,31363.326594412094,253310.82990190113,30606.967523106967,30929.2477403476,256140.77265608209,30452.097023602248,31120.767480663209,98.962804689742185,631.41887981674881,629.11164100720123,3.5692764655612668,50.370440107060752,50.8246685248039,3.6066848314892535,7.9773414633530315,8.0787995662318579,,,,2019-02-01T10:03:37.6510785,UNKNOWN,,1,,,
25,190131/03,246446.22071067628,4536006.9984820075,4672607.6377563132,6294.4689325895451,111408.28172904719,100925.64654330621,2.5540943230690258,2.4560870776065911,2.1599426779982873,233208.25995125104,4708448.5482031135,4821441.3197905282,241593.04034147234,4635272.8200260131,4749181.7286924608,258009.80303423386,4367086.7287227,4518687.752518069,250407.65663820598,4328710.3517247941,4485968.2544058235,243227.1718864849,4540101.2219732087,4696529.9245264539,245367.70776659198,4554704.5718235746,4698260.6931755077,246841.45820526313,4550747.1321479511,4698750.3185170181,246588.67087760376,4540686.0373054752,4641521.0867396928,244647.5770863677,4477929.1065527229,4617301.7122887634,250342.65810346921,4566207.8326310543,4708463.1188962571,250674.42392649507,4626182.6321914736,4762578.1057688659,94.813093768727043,100119.35337284084,99742.421988626942,2.4216158454736831,4663.3721559107762,4340.7520466557016,2.5540943230695676,4.6578128991150676,4.3519617431694737,,,,2019-02-01T10:06:58.7775823,UNKNOWN,,1,,,
26,190131/04,253980.61645953945,1635606.4501525394,1692691.9182484224,8519.1009594298157,82523.36933885522,85375.97129457783,3.3542327277510791,5.0454294387967806,5.0437986011609173,255339.18057701556,1557340.0587511282,1611649.340813231,236564.46381052336,1781670.6667111211,1839481.196625669,255493.83597510326,1619311.4271777659,1682723.9843270921,273110.33898485667,1464501.3787691298,1512517.8805998464,256813.3283985465,1574020.7079944755,1634126.8037304166,254096.18478424512,1644368.5474064075,1710874.067708316,252616.5777904102,1683055.707200832,1726308.6491583728,247484.25744002132,1682546.5738890935,1757658.3550129004,254463.8229584684,1682867.3432945602,1747790.4433241903,253903.84200099981,1656767.5288787889,1696670.1907836653,253900.94833474365,1645221.0116046281,1699810.1886489478,97.711735787126287,35079.5753507362,35112.33897076422,3.2774790206254978,2871.0276534305931,2873.84699803858,3.3542327277511248,8.1843284153961129,8.1847210475822951,,,,2019-02-01T10:10:20.2191041,UNKNOWN,,1,,,
27,190131/05,255472.93769368593,101086.60823062701,104335.53076798265,5288.7433325528355,4151.9390790823063,4366.1555261516532,2.0701775226361083,4.1073087244254385,4.1847254660168858,269012.07993493625,91974.8622985807,94155.609234906908,260863.46501956959,94235.670090878528,97761.694167671332,256334.55806231205,99584.631834561616,103499.16978852831,253991.72539727957,102186.32242053807,106785.55628441717,251026.82390146665,103797.50562693559,106515.22860581768,250550.98364893813,103292.18931888929,106007.87207550989,252967.71342224116,103051.40290406787,106041.86956922947,255437.05013974669,103228.29532889179,107152.12960675436,253769.21058412068,103993.21629724186,107466.90689926423,252808.01842664904,103214.97804843517,105083.59227944333,253440.68609328504,103393.6163678767,107221.20993626668,98.285863451564282,2151.70376100342,2147.9917657744631,2.0346918531032117,127.21781779204183,127.76554629616338,2.0701775226362202,5.91242252291809,5.9481394822804274,,,,2019-02-01T10:13:41.9836444,UNKNOWN,,1,,,
28,Rinse,257793.882374912,271.139461582578,280.86696311393177,14222.788745775064,31.819010677029798,33.553010065170554,5.5171164710149068,11.735293155525806,11.946228809957974,252350.90054267529,245.00248522596229,235.50231262365588,275218.01950666256,229.50220822192014,220.5020642202785,265957.08455161005,229.50224782359251,257.00277483103025,219897.58775801523,295.00369964919128,307.0039576529353,266987.3215746911,244.00250682696498,255.00270002960292,255532.54679986212,275.00309603564949,285.00336404091433,255365.98952032524,250.50255462648312,292.00351164344693,261475.2712039318,302.50386945188484,297.00373364907784,256590.48156264634,307.00384924932854,308.50390105056084,266208.72841992375,299.00365404562251,316.00412085522544,260148.77468368845,305.50390625175908,316.00415365652196,99.178780149814074,4.9077778041319879,4.9679892256365736,5.4718088153969386,0.85928069962424636,0.87637969489676726,5.5171164710147895,17.508549366289468,17.640531311427559,,,,2019-02-01T10:17:04.0061994,UNKNOWN,,1,,,
29,S4,259312.7035036537,2443.3765570405517,2539.9414934269544,3494.5149589415983,73.757631757812945,84.020454046431553,1.347606542882833,3.0186764109396678,3.3079680876061834,260380.57758436259,2306.2145637313679,2431.7380040357984,266035.86822226871,2323.2167475043952,2387.2292153347662,255595.29087199355,2404.73224712304,2464.7437911944644,253457.53825351753,2481.7478659100734,2590.7698456547978,257928.50607984449,2464.2444432056527,2506.7522340719979,263271.97512093576,2443.2402149620784,2550.261151648499,261706.64415088948,2511.7531938122188,2578.7670603723645,258123.06496313409,2423.7364274025849,2591.7705218309138,257615.00235251687,2529.7571192518831,2628.278227650168,259100.68241897418,2489.2487233428051,2550.7623662074939,259224.58852175405,2499.2505811999677,2658.2840096952314,99.76310288636104,50.381253806663871,50.706781987208,1.3444141018770746,1.9143150676723695,2.068606997427338,1.3476065428803679,3.799657457947514,4.0795469883085733,,,,2019-02-01T10:20:25.846744,UNKNOWN,,1,,,
30,S0,260095.91236851065,113.95511496673511,114.90967771237246,5910.6601308759964,14.980897605454867,14.902861026927106,2.2724925113400549,13.146314327205037,12.96919574017959,266581.23388760735,128.00070760412262,132.50080460546641,262347.10232350411,138.00085040588775,125.0006600036522,243996.59795800006,95.500388601676107,101.00043520199525,264388.91356297466,106.00049000242998,92.000390801854081,258524.36878942815,92.000352801410116,102.00047600250852,261685.49376942837,100.50042540186796,102.50046140223881,261916.81469079992,116.50057780304651,112.50055700300217,259337.62021413096,114.50058460326844,109.00050080241988,257701.93181840144,109.5005306027502,129.00073000444243,261846.05561716753,132.00072680416594,121.50064020363,262728.90342217451,121.00063000346052,137.00079880488724,100.06441996612813,1.5401132347482971,1.5310977176140252,2.2739564502464593,0.2867074636809927,0.28537235999388993,2.2724925113403898,18.615998954638531,18.638415870581916,,,,2019-02-01T10:23:46.4742193,UNKNOWN,,1,,,
31,M 190131/06,256182.87652778931,3663.5847638180976,3763.3417617517425,5576.8610701311572,91.005650398627651,133.8039930130382,2.1769062576382656,2.4840601832775344,3.5554568647721156,265596.95534543286,3477.9863681608949,3528.5002548510979,264785.00951528561,3630.5289693264253,3658.5378658287036,259541.00330410787,3561.0092521316647,3539.5042559064909,247244.382639011,3650.5346905689062,3752.0642764498252,253196.66519340145,3715.0547650964231,3834.0899292699514,251871.07584905112,3644.0334146302748,3834.5903063984224,250947.28748295768,3717.5554602093443,3859.0968454970075,256266.0737461301,3787.576117988523,3937.6216611871655,255489.94730334514,3632.0285216443758,3774.0708599305217,255653.24221809293,3709.051967005621,3813.0827134370179,257419.99920886685,3774.0728752366158,3865.6004105129687,98.558991994796983,76.925329244065381,76.484105354674753,2.1455368641992858,3.0701956084299704,3.9546156392447571,2.1769062576376093,3.9911374297651507,5.1705065005418778,,,,2019-02-01T10:27:05.8986257,UNKNOWN,,1,,,
32,190131/07,254106.2906160948,118490.09761890238,122501.64763150494,5846.0113901659652,3865.2969376722904,3961.9908270728247,2.3006165553760933,3.262126553481437,3.2342347255530965,240457.71526713989,119521.87859860105,121967.74650028713,245150.26280014325,108041.14770830264,111516.43528184135,254468.05500605749,116164.68845463145,121765.01820905872,255053.84240493496,118072.20469259715,122319.71557040312,256463.84614230273,118901.75815891483,123896.53601970698,257469.56891007355,119408.6100075485,122970.76787022696,256256.31234067184,120345.256170954,125632.37758440331,258264.80215921873,122356.03432697577,126882.00630543815,255674.52269379384,119458.85064937818,123326.99508615598,256658.28271832591,119032.65081907777,122878.8274697621,259251.98633438061,122087.99422094459,124361.6980492704,97.760085303525571,2533.425213790948,2533.1059230758533,2.2490847070419719,73.252122050211469,66.07020714787204,2.3006165553753481,2.8914262655734371,2.60826862966889,,,,2019-02-01T10:30:28.1781954,UNKNOWN,,1,,,
33,190131/08,254784.46443546721,1168.1914703506309,1199.6036032471163,5060.5589135518712,20.5834960457801,41.043233027060722,1.9862117279264604,1.7619967760594928,3.4213996120021557,263406.10923425254,1166.5546879760882,1159.0540137300968,263252.62949064875,1132.5519514113028,1132.0516619763384,260140.5420814699,1161.5543707638267,1138.5525634628073,253010.35476363017,1167.5550768254602,1250.0631060155479,249290.29725114396,1163.0549046272633,1194.057422780063,250706.87594608573,1148.0532016863867,1202.0583704615549,251822.45093977294,1176.0557578634512,1229.5610676604151,253194.48804911,1197.0577320040804,1201.5584354771734,250643.77393812631,1204.5583866467823,1242.5621901338736,253410.7361195914,1178.055966279908,1238.5620933469547,253750.85097630756,1155.0541377723894,1207.5587106734549,98.020993171141583,24.089767385173669,23.976592917012628,1.9469044621967688,0.78321090644415425,1.2524999656084641,1.9862117279280518,3.2512182202564173,5.2238446469170805,,,,2019-02-01T10:33:50.7837838,UNKNOWN,,1,,,
34,M 190131/09,264812.31278602791,587.10496343358272,591.24148880184043,5928.7014099227517,14.729556755992514,28.160139337029381,2.2388314756018262,2.5088455512025014,4.7628828271331765,260799.17231098091,577.01386754483042,590.51429335446244,280837.68028851558,554.51259049242185,556.51254488623181,262059.58486576914,578.01363672833463,602.01466276107965,270346.09732291021,576.01349912127841,556.01248548318893,261357.77945472772,585.51392853633513,587.01401793983007,262270.45965444681,596.51444215456058,577.01354432282665,261392.60867387662,602.01471356466413,595.01443475619931,262803.87745254789,595.51436375076594,561.01282349842063,264063.11160726374,604.514886174174,611.01510037717492,264565.94281299884,592.0142595495239,623.51574260257382,262439.12620226981,596.51441015252192,644.01672683825723,101.87891934756478,1121.9217649253319,1095.5159391061065,2.2808973133574546,51.212953543172127,71.066284389068784,2.2388314756029803,4.5647526542619961,6.48701509966672,,,,2019-02-01T10:37:10.396201,UNKNOWN,,100,,,
35,M 190131/10,268789.45052942965,283.59424889524735,285.4579426237708,12584.923990135976,16.689915472798379,19.081121443543307,4.6820751206372426,5.8851389045492306,6.6843897451793559,271355.48963875917,271.50309023661322,276.50315863736859,276611.06819008465,277.50317543734093,290.50355864565051,267336.5627263597,284.50333544011505,284.50335744092428,302024.75102969666,240.50238902445443,252.50264662869867,273230.92657087476,297.50365584628378,252.50268102974314,262160.21791539143,298.50370144740282,302.50375184755796,263416.64955536334,286.50343944316046,296.00359524475277,259365.97518507773,282.00328763962546,290.50350344359407,257086.97797660987,296.503593844495,285.00340884248146,262322.76026430289,291.503504243228,295.00361044543706,261772.57677120576,293.00356524500182,314.5040966552703,103.40900868189864,491.731398831794,481.27482060754454,4.84168746799308,54.254594077056041,55.879490902909588,4.68207512063753,11.033380053815689,11.61072395858343,,,,2019-02-01T10:40:30.1186244,UNKNOWN,,100,,,
36,M 190131/11,264836.48197163478,429.96214906524676,454.78125101889333,10784.977327489742,28.972953723467008,31.833036439842648,4.0723155840156728,6.7384893731820936,6.9996369394129188,275459.44012758811,417.507288732222,422.00731773042116,277229.70286295039,408.50679071464572,461.00867616632559,275889.923187812,415.00707252317704,425.507540339132,270303.51939606993,408.00686291875985,445.50807594871895,239489.59744595661,408.00679891570553,397.50649990916088,260245.66183113417,455.00852336394428,447.50821755481275,264745.61113647465,409.00681331550265,456.50857316644544,262349.12256359711,406.00676611549454,469.50898117463259,268736.56094675732,482.00949059080995,499.51014120922946,259567.3453669275,446.00812015040117,479.50948359290442,259184.81682271505,474.50911237705151,498.51025441604361,101.88821774643921,799.9744566225171,824.4458878030506,4.1492097695634946,72.113015359743429,66.612599770231554,4.0723155840151115,9.014414743216145,8.0796812447858848,,,,2019-02-01T10:43:50.1940681,UNKNOWN,,100,,,
37,190131/12,266011.0241772572,9121.2920956231956,9431.7493551167991,5245.5498611711546,336.55997188656409,297.65235373366414,1.9719295008148865,3.6898278046381239,3.1558552133511197,273346.59847877861,8593.9608415336461,8858.6472817525228,277130.05108580738,8547.4292217096554,8983.24323676644,268661.64203540329,8811.6131565766136,9205.3962455571818,259280.44564915318,8976.2268142243665,9432.0626278663676,265899.89722002228,9287.9582191022782,9587.6791035693714,263488.46636536147,9237.4145915830522,9776.325567529,261757.25621813783,9274.94510423491,9508.119714102384,264428.64568934607,9454.5834283331933,9775.828742901369,261994.98202847183,9358.50822704787,9550.1529535000336,265567.45765987225,9508.6225136397952,9503.1197459182658,264565.82351947494,9282.95093386975,9568.6676868218528,102.34008907137114,18564.752012348417,18570.548152015694,2.0180744075606434,968.49013765196128,887.64695278988791,1.9719295008168842,5.2168223793550608,4.7798640380657824,,,,2019-02-01T10:47:10.5245264,UNKNOWN,,100,,,
38,190131/13,262291.73338659038,50.409215327619364,48.363751527587233,9476.2532973348189,4.7582666944685705,5.2682827112124162,3.6128676931528831,9.439279432428501,10.893039817656263,274967.40664775867,48.000118800327371,46.000104000269921,263426.01455875312,49.500119400326156,45.5001038002948,237852.19771591009,54.500150600463755,51.500124200319746,255329.84130940531,56.500147400413674,59.000171600565281,267342.71712942695,49.500116200311275,46.5001118003252,269919.26869363693,50.000111200270069,50.000112400277757,263477.27757716714,57.50015020042872,39.000069600135838,264306.82728527638,48.000120800366716,49.000120400328477,263022.3093263646,44.000099600259517,46.50011180030792,262556.62139166129,43.000089200206567,45.000101600258724,263008.58561713365,54.000145200439192,54.000135600375835,100.90919893448144,20.883710574230761,18.187208400998291,3.6457158477230234,12.182258297798622,12.587537561783876,3.6128676931526558,58.333782468862573,69.210938172858619,,,,2019-02-01T10:50:31.1670024,UNKNOWN,,100,,,
39,M 190131/14,265257.43903591065,236.18414649664166,245.18432951766192,5281.1367373729836,9.7322843721908487,13.644459850158322,1.9909476456409658,4.1206340546355147,5.5649803872051455,275256.83310734562,243.50244182511634,246.50254422724615,275436.82860686112,232.00226362300683,218.50197741847336,262670.94853926811,231.00220482172122,239.00234562359066,265061.07609538781,241.50242102532724,237.50233662372966,263072.43952870497,231.00225962345067,254.50265502838312,261834.91332808911,244.50248902640442,239.50239182466066,262846.63221617165,217.00193081761535,249.50266583028034,259096.22636907827,229.00218522164596,241.50245702601697,262558.88164960913,250.50259422769895,268.5030274356584,264331.07235740311,245.50254622777689,263.0028408315074,265665.97759709827,232.5022750232944,239.00238282473447,102.05016886702325,400.15622446223455,407.19818566697847,2.0317654344296741,21.00018848293519,31.926006849889038,1.99094764564003,5.2479974567825618,7.840409897110713,,,,2019-02-01T10:53:52.0574927,UNKNOWN,,100,,,
40,M 190131/15,263200.66396755364,166.72845357247482,169.91031175464889,10009.58341851544,6.210419955348395,6.8514276203585993,3.8030236199363778,3.7248710836562768,4.03237893545395,291010.13121468911,163.50113500832637,168.50117380840305,271027.60362042859,160.50110220805038,161.00113880856938,262773.53882147116,164.00111960787862,179.50134141041792,260589.55954066449,179.50135981077409,159.50107700768737,258743.42288216259,168.0011840086722,181.50136101052817,257993.34551017563,174.00126400956935,167.50116420835104,258280.64314325279,170.50128261058688,164.501171008855,260279.40850529904,168.50124300980804,173.50126500960002,256786.78618857372,164.00112920820885,170.50122260915939,259802.3493693838,163.50111940797456,171.50123900941009,257920.51484698942,158.00105040737367,171.50127541015652,101.25888382781686,260.941785638974,260.80328838180463,3.8508992692558013,19.810569885381504,19.795839157848878,3.8030236199363672,7.5919499963836428,7.590333419749153,,,,2019-02-01T10:57:13.2039976,UNKNOWN,,100,,,
41,Rinse,259305.2666038147,36.590974709229634,39.545538763861096,8894.9042309169945,3.3602058757791684,4.3385353579268511,3.4302829045532932,9.1831548694208376,10.970985586600845,243640.55255799397,36.000062000118547,41.500095400255759,265852.21983948082,35.000062000129923,33.500054200094162,280876.01153660007,42.5000870002036,42.500091000224238,258963.60013406893,38.000080800221113,38.000083600251841,254764.28719143878,32.50004940008008,35.500062200128085,256439.91989833987,35.000058400114561,40.500082200189837,259861.63209396851,36.000062800128163,36.500063800125361,258011.43389737181,32.000055200130404,46.000119200407205,258741.7540075224,39.00007040014016,37.0000804002368,257051.83926770574,41.5000782001612,47.000110800331512,258154.68221747098,35.000055600098236,37.0000836002272,99.7602417530892,-0.071605669301755964,0.012677392174277801,3.4220585183978227,0.062182354432861187,0.093451937067909219,3.4302829045538616,86.839987726134282,737.15426471953367,,,,2019-02-01T11:00:34.6595202,UNKNOWN,,1,,,
42,S4,263615.227490499,2248.8404518445891,2339.9485109438565,10922.256644495006,112.25607661337986,152.28755884976891,4.1432571056194609,4.9917314730488291,6.5081585401356223,289126.79801121668,2117.6806189074155,2104.6780553420422,276807.5223565168,2171.6905523016439,2176.190615998064,249421.89163291315,1998.1619605089989,2080.6750138650864,267990.8865090519,2253.2037872935184,2323.2165662516245,260605.07790470007,2262.20539031106,2336.7192876611352,262298.45563601534,2262.205800827689,2454.2421940285981,255848.31147231598,2347.7220689509732,2388.2296466317612,260179.77578228348,2318.716432933295,2472.7473624252762,257511.05840350562,2298.2122440947473,2462.7436143982331,259282.20716462418,2370.2266502599455,2457.7431944186415,260695.51752234547,2337.2194639011955,2482.2480693619527,101.41837521730039,45.606004290149407,45.976119077126221,4.2020240375942981,3.2228992803176779,4.07030684507052,4.1432571056191581,7.0668310685876135,8.85308922713217,,,,2019-02-01T11:03:56.468063,UNKNOWN,,1,,,
43,S0,259271.15009477481,39.72735403655863,38.909165854711084,5767.4167831575141,4.7611273501516491,4.903169937988241,2.2244730202528413,11.984506558806503,12.601580707992921,268136.66084335581,40.00007160013984,40.500081000192246,272629.33307658072,35.00006240013856,38.000071200149591,255966.95720939557,36.500072200174792,43.000096400250719,256832.99834659314,40.000084400198872,31.500046200077044,254977.87722617891,45.500092600205519,37.000064000123523,256101.33440796915,43.000099200269915,47.500103000242326,256616.04601984355,34.500068600168241,37.000065600131684,259559.43123775238,36.50006740014696,41.000079600173123,257721.19923723993,37.500079800203281,34.500060200115442,258682.907323608,50.000120000319036,33.500063800152724,254757.90611400531,38.500076200179919,44.500093400213515,99.7471164076839,-0.0047161314987557244,-0.0005804770824330693,2.2188476929695145,0.10572023803281497,0.10318108195504602,2.224473020253233,2241.6728214789509,17775.220603466823,,,,2019-02-01T11:07:17.0525358,UNKNOWN,,1,,,
44,M 190131/16,261434.72594988684,926.80753592410144,949.80936588850022,7039.6605048128886,39.181010853381295,38.195373938002049,2.6927029220143797,4.2275239825617827,4.0213726364207982,243657.25715115914,904.03294841020465,908.03348565495833,273107.16046241834,910.533651462347,884.53188857103885,264811.75071392732,885.53196817436674,902.53319103915055,259323.03019227047,897.53264180161477,947.53644162095986,259625.72246117651,975.53854374162461,979.03859353094992,261777.00150642186,921.5342690862559,967.03793750810723,259937.16848107084,900.03266799526739,960.53731966576925,262422.99858366838,913.53375146053679,942.03577256882033,263449.76233111147,913.03373606069385,983.03934560221637,262218.30003000156,961.03725145542035,962.53767089783616,265451.83353552991,1012.5414655167826,1011.0413781136964,100.57948997719919,1843.6212636788548,1831.6608346836,2.708306865562121,89.154542858881584,88.82371757208621,2.6927029220133041,4.8358382828031665,4.8493539791950386,,,,2019-02-01T11:10:36.5199447,UNKNOWN,,100,,,
45,M 190131/17,255462.83042369262,312.3677110371695,325.04980185970413,9099.4509873979823,17.848562784607928,13.814226663439049,3.5619471420974533,5.7139589509250133,4.2498800443513129,242715.91339047378,346.5049306717234,329.50444066114807,260654.48832734436,322.004369262212,326.50444466294709,268864.58248639683,286.00335364025261,310.003922050624,258283.47225485434,316.50411865517356,309.5039274510612,241344.43495102003,311.5040990566182,318.50421545755717,244157.26936895639,295.00362684648746,312.50403625376805,252673.96421710675,323.504421063216,343.50483346944048,259604.08742198371,303.00383965038003,349.50501427368187,260599.16916684186,313.00404005358911,329.504446261461,263745.56499278062,328.0044932646648,312.00398525206583,257448.18808286,291.00352924454751,334.50455466299053,98.281974970195591,581.79695223879116,590.58519367835652,3.500751998647841,50.990108767785784,37.711578319002946,3.5619471420974782,8.7642447372012953,6.385459493849309,,,,2019-02-01T11:13:58.303486,UNKNOWN,,100,,,
