LIMS export of <Calib_2018.d80>
Version 03-CDate 2018-12-05-12-35-14

Nr;Pos;SampleName;CreationDate;ProcessTime;Amount;Unit;ConcentrateAmount;Unit;Type;State;CalFile;MethodFile;Height;Cell;Hg [ng];Concentration;Unit;DilutionWeight;FinalVolume;CalFactor;DilutionFactor;Statistics;Group;Remark;
26;1;10 ng;2018-11-29-14-26-09;2018-11-29-14-26-47;0,10000;mL;0,10000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,4598;1;10,0000;100,0000;µg/L;0,0000;0,0000;1,0000;;;;0.1 ml eines 100 µg/l Hg-Standards;
27;3;15 ng;2018-11-29-14-34-19;2018-11-29-14-34-40;0,15000;mL;0,15000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,6443;1;15,0000;100,0000;µg/L;0,0000;0,0000;1,0000;;;;;
28;1;20 ng;2018-11-29-14-42-06;2018-11-29-14-42-24;0,20000;mL;0,20000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,7832;1;20,0000;100,0000;µg/L;0,0000;0,0000;1,0000;;;;;
29;1;NBS 1633 c;2018-11-29-14-58-03;2018-11-29-14-58-44;0,01050;g;0,01050;g;normal;finished;Calib_2018_11.c80;Feststoffe std.m80;0,5150;1;11,4908;1094,3610;µg/kg;;;1,0000;;;1;;
30;2;NBS 1633 c;2018-11-29-14-58-28;2018-11-29-15-04-44;0,01170;g;0,01170;g;normal;finished;Calib_2018_11.c80;Feststoffe std.m80;0,5574;1;12,6481;1081,0381;µg/kg;;;1,0000;;;1;;
31;3;25 ng;2018-11-30-10-30-15;2018-11-30-10-31-47;0,02500;mL;0,02500;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,0224;2;25,0000;1000,0000;µg/L;0,0000;0,0000;1,0000;;;;;
32;1;50 ng;2018-11-30-10-40-26;2018-11-30-10-40-41;0,05000;mL;0,05000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,0432;2;50,0000;1000,0000;µg/L;0,0000;0,0000;1,0000;;;;;
33;3;200 ng;2018-11-30-10-47-50;2018-11-30-10-48-08;0,20000;mL;0,20000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,1704;2;200,0000;1000,0000;µg/L;0,0000;0,0000;1,0000;;;;;
34;-;auto BW (1);2018-11-30-10-54-59;2018-11-30-10-54-59;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,2149;0;1,6508;;;;;1,0000;;;;;
35;-;auto BW (2);2018-11-30-10-59-30;2018-11-30-10-59-30;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0566;0;0,4326;;;;;1,0000;;;;;
36;-;auto BW (3);2018-11-30-11-04-13;2018-11-30-11-04-13;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0309;0;0,2345;;;;;1,0000;;;;;
37;-;auto BW (4);2018-11-30-11-08-57;2018-11-30-11-08-57;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0193;0;0,1451;;;;;1,0000;;;;;
38;-;auto BW (5);2018-11-30-11-13-40;2018-11-30-11-13-40;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0133;0;0,0995;;;;;1,0000;;;;;
39;1;600 ng;2018-11-30-11-20-24;2018-11-30-11-20-57;0,06000;mL;0,06000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,4165;2;600,0000;10000,0000;µg/L;0,0000;0,0000;1,0000;;;;;
40;3;1000 ng;2018-11-30-11-42-27;2018-11-30-11-42-47;0,10000;mL;0,10000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,6739;2;1000,0000;10000,0000;µg/L;0,0000;0,0000;1,0000;;;;;
41;1;1300 ng;2018-11-30-11-51-43;2018-11-30-11-52-00;0,13000;mL;0,13000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,7582;2;1300,0000;10000,0000;µg/L;0,0000;0,0000;1,0000;;;;;
42;-;BW;2018-11-30-12-01-42;2018-11-30-12-03-59;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0220;2;24,0527;;;;;1,0000;;;;;
43;-;BW;2018-11-30-12-02-19;2018-11-30-12-08-07;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,3287;0;2,5261;;;;;1,0000;;;;;
44;-;BW;2018-11-30-12-02-20;2018-11-30-12-12-52;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,2317;0;1,7802;;;;;1,0000;;;;;
45;-;BW;2018-11-30-12-02-21;2018-11-30-12-17-35;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,1640;0;1,2586;;;;;1,0000;;;;;
46;-;BW;2018-11-30-12-02-22;2018-11-30-12-22-19;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,1221;0;0,9368;;;;;1,0000;;;;;
47;-;BW;2018-11-30-12-02-22;2018-11-30-12-27-04;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0880;0;0,6744;;;;;1,0000;;;;;
48;-;BW;2018-11-30-12-02-23;2018-11-30-12-31-47;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0708;0;0,5415;;;;;1,0000;;;;;
49;-;BW;2018-11-30-12-02-23;2018-11-30-12-36-32;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0537;0;0,4100;;;;;1,0000;;;;;
50;-;BW;2018-11-30-12-02-24;2018-11-30-12-41-15;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0450;0;0,3430;;;;;1,0000;;;;;
51;-;BW;2018-11-30-12-02-25;2018-11-30-12-46-00;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0361;0;0,2746;;;;;1,0000;;;;;
52;-;BW;2018-11-30-12-02-25;2018-11-30-12-50-44;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0320;0;0,2431;;;;;1,0000;;;;;
53;-;BW;2018-11-30-12-02-26;2018-11-30-12-55-27;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0276;0;0,2094;;;;;1,0000;;;;;
54;-;Amalgamator ausheizen;2018-12-03-07-56-15;2018-12-03-07-56-15;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;;0,2009;0;1,5433;;;;;1,0000;;;;;
55;-;manueller BW;2018-12-03-07-57-16;2018-12-03-07-57-16;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,1545;1;3,0703;;;;;1,0000;;;;;
56;-;manueller BW;2018-12-03-08-01-50;2018-12-03-08-01-50;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0320;0;0,2434;;;;;1,0000;;;;;
57;-;manueller BW;2018-12-03-08-14-18;2018-12-03-08-14-18;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0181;0;0,1359;;;;;1,0000;;;;;
